Latente_1,Latente_2,Ano,UF
0.5608805,1.3271044,2011,MS
1.164631,0.76501495,2011,MT
1.8689246,0.91058654,2011,PR
1.3405873,0.8342823,2011,MG
1.069467,0.81611645,2011,PE
1.7602383,1.3159955,2011,SC
1.6244605,1.220789,2011,CE
1.6105515,0.59822226,2011,PR
1.4865396,0.8237837,2011,GO
1.3679775,0.95610327,2011,RS
1.0715067,1.0676056,2011,SP
0.7045659,1.1158267,2011,PE
0.65295243,0.1858582,2011,CE
1.560131,1.2432649,2011,PB
0.87556523,0.60398954,2011,BA
0.9489652,0.353379,2011,AP
1.4793873,0.6014184,2011,AL
1.6026822,0.40944904,2011,AM
0.560852,0.62675947,2011,AL
0.35982716,0.7032751,2011,BA
0.57133615,0.22459288,2011,BA
0.32409635,0.28226763,2011,TO
1.5170443,0.51377165,2011,RN
0.5763707,0.77573085,2011,CE
1.0145804,0.62290215,2011,MG
1.3146532,0.6790059,2011,TO
1.2804711,0.8345025,2011,PR
0.6353512,0.8250718,2011,RJ
0.5716186,0.87398213,2011,AM
0.6658044,1.1982818,2011,PI
1.0709801,0.5939274,2011,RJ
0.8744761,0.9420373,2011,GO
1.7918452,1.0310961,2011,RS
1.1772213,0.0,2011,BA
0.8024297,0.5613186,2011,RO
1.8008478,1.57719,2011,PE
1.0387195,0.6102071,2011,AC
1.8402013,0.9667302,2011,RJ
1.7158121,0.8575559,2011,BA
0.54766047,0.7524664,2011,PA
0.30674124,2.0059018,2011,SC
1.3155184,0.54481685,2011,MA
2.005229,1.5386325,2011,SP
0.5406249,0.5267991,2011,PI
1.0372356,0.6457664,2011,PI
0.8022134,0.52106667,2011,RN
0.81227076,0.7726653,2011,MG
1.4445356,1.2200847,2011,ES
0.76998645,0.94668436,2013,GO
1.1814852,0.39765644,2013,RJ
1.0043411,1.2655733,2013,SE
0.4673565,0.9796705,2013,CE
0.72197574,0.25073195,2013,RJ
1.5138074,0.673421,2013,SC
0.6961311,0.4627025,2013,AM
0.7601019,0.5081994,2013,MA
